!time,solar.current,solar.total
2013-12-01 07:00:00,6.300000190734863,1.690000057220459
2013-12-01 07:30:00,44.29999923706055,11.359999895095825
2013-12-01 08:00:00,208.0,67.5
2013-12-01 08:30:00,482.0,250.5
2013-12-01 09:00:00,774.0,573.5
2013-12-01 09:30:00,1010.5,1029.5
2013-12-01 10:00:00,1220.0,1575.0
2013-12-01 10:30:00,1460.0,2285.0
2013-12-01 11:00:00,1545.0,3020.0
2013-12-01 11:30:00,1625.0,3790.0
2013-12-01 12:00:00,1750.0,4730.0
2013-12-01 12:30:00,1715.0,5565.0
2013-12-01 13:00:00,1705.0,6460.0
2013-12-01 13:30:00,1690.0,7360.0
2013-12-01 14:00:00,1475.0,8125.0
2013-12-01 14:30:00,1430.0,8950.0
2013-12-01 15:00:00,1033.5,9530.0
2013-12-01 15:30:00,785.5,9985.0
2013-12-01 16:00:00,246.0,10300.0
2013-12-01 16:30:00,24.94499969482422,10300.0
2013-12-01 17:00:00,1.25,10300.0
2013-12-02 07:00:00,4.190000057220459,0.4300000071525574
2013-12-02 07:30:00,36.75,10.289999723434448
2013-12-02 08:00:00,240.0,84.89999961853027
2013-12-02 08:30:00,515.0,281.5
2013-12-02 09:00:00,786.5,623.0
2013-12-02 09:30:00,1070.5,1100.5
2013-12-02 10:00:00,1260.0,1670.0
2013-12-02 10:30:00,1425.0,2355.0
2013-12-02 11:00:00,1645.0,3145.0
2013-12-02 11:30:00,1590.0,3920.0
2013-12-02 12:00:00,1740.0,4860.0
2013-12-02 12:30:00,1720.0,5700.0
2013-12-02 13:00:00,1670.0,6575.0
2013-12-02 13:30:00,1645.0,7445.0
2013-12-02 14:00:00,1490.0,8140.0
2013-12-02 14:30:00,1360.0,8960.0
2013-12-02 15:00:00,724.5,9445.0
2013-12-02 15:30:00,558.5,9760.0
2013-12-02 16:00:00,227.5,9955.0
2013-12-02 16:30:00,70.0,10050.0
2013-12-02 17:00:00,4.544999957084656,10100.0
2013-12-03 07:00:00,0.11999999731779099,0.0
2013-12-03 07:30:00,59.5,13.970000147819519
2013-12-03 08:00:00,119.5,66.35000038146973
2013-12-03 08:30:00,571.5,207.5
2013-12-03 09:00:00,843.0,545.5
2013-12-03 09:30:00,689.0,1010.0
2013-12-03 10:00:00,853.5,1360.0
2013-12-03 10:30:00,599.5,1745.0
2013-12-03 11:00:00,691.0,2045.0
2013-12-03 11:30:00,684.5,2410.0
2013-12-03 12:00:00,559.0,2700.0
2013-12-03 12:30:00,703.5,3010.0
2013-12-03 13:00:00,620.5,3360.0
2013-12-03 13:30:00,584.0,3775.0
